3	163807935	183847697	KCNMB2
3	147772326	154675244	HPS3
3	147772326	154675244	AGTR1
3	163807935	183847697	PARL
3	163807935	183847697	MFN1
18	31106369	38948686	TPGS2
1	152583231	152614065	LCE3B
3	163807935	183847697	CLDN11
3	163807935	183847697	SAMD7
Y	11680223	24173813	DAZ1
Y	11680223	24173813	DDX3Y
18	31106369	38948686	AC007998.2
3	147772326	154675244	COMMD2
3	163807935	183847697	CCDC39
3	147772326	154675244	TM4SF18
3	154677910	161899630	DWORF
18	31106369	38948686	KIAA1328
Y	11680223	24173813	CDY2A
11	69097202	71740555	KRTAP5-10
18	31106369	38948686	SLC25A52
11	69097202	71740555	CCND1
3	163807935	183847697	WDR49
3	163807935	183847697	ZNF639
3	163807935	183847697	PLD1
3	147772326	154675244	P2RY1
3	163807935	183847697	TTC14
3	163807935	183847697	SEC62
3	163807935	183847697	TBL1XR1
11	69097202	71740555	KRTAP5-7
Y	11680223	24173813	NLGN4Y
3	163807935	183847697	PIK3CA
18	31106369	38948686	GALNT1
3	163807935	183847697	SLITRK3
11	69097202	71740555	LTO1
3	147772326	154675244	SIAH2
Y	11680223	24173813	DAZ2
3	163807935	183847697	DNAJC19
3	154677910	161899630	MME
3	52994359	53036018	SFMBT1
3	163807935	183847697	ECT2
18	31106369	38948686	DSG1
3	154677910	161899630	NMD3
3	147772326	154675244	AC020636.2
18	31106369	38948686	ZNF397
3	154677910	161899630	GFM1
3	163807935	183847697	ACTRT3
18	31106369	38948686	SLC39A6
3	163807935	183847697	FXR1
3	154677910	161899630	LXN
4	47458499	48667072	NFXL1
Y	11680223	24173813	TMSB4Y
3	154677910	161899630	VEPH1
3	147772326	154675244	TM4SF4
X	62748290	63358910	SPIN4
18	31106369	38948686	DSG2
11	69097202	71740555	SHANK2
18	31106369	38948686	DSC1
Y	11680223	24173813	RBMY1J
11	69097202	71740555	FGF4
3	154677910	161899630	TRIM59
8	42301201	42321440	IKBKB
18	31106369	38948686	DSG4
3	163807935	183847697	MECOM
3	147772326	154675244	ANKUB1
3	163807935	183847697	LRRIQ4
Y	3421945	3737726	TGIF2LY
11	4946147	4955663	MMP26
3	163807935	183847697	LRRC31
3	163807935	183847697	KCNMB3
3	163807935	183847697	SOX2
3	154677910	161899630	AC104472.3
3	154677910	161899630	KPNA4
3	154677910	161899630	ARL14
3	163807935	183847697	KLHL24
3	154677910	161899630	PLCH1
3	163807935	183847697	MRPL47
3	163807935	183847697	ATP11B
3	163807935	183847697	GOLIM4
18	31106369	38948686	TRAPPC8
3	154677910	161899630	SMC4
3	147772326	154675244	EIF2A
3	163807935	183847697	PDCD10
3	154677910	161899630	RSRC1
Y	11680223	24173813	UTY
3	147772326	154675244	GPR171
Y	6747314	9688306	TSPY8
3	154677910	161899630	PPM1L
Y	11680223	24173813	CDY1
Y	4143447	4166517	TBL1Y
Y	6747314	9688306	TBL1Y
4	47458499	48667072	ZAR1
3	154677910	161899630	GMPS
18	31106369	38948686	FHOD3
3	147772326	154675244	TM4SF1
3	163807935	183847697	FNDC3B
3	163807935	183847697	PEX5L
3	163807935	183847697	MCCC1
3	154677910	161899630	CCNL1
Y	11680223	24173813	DAZ3
