chr1	65418	71585	OR4F5
chr1	450739	451678	OR4F29
chr1	685715	686654	OR4F16
chr1	923922	944575	SAMD11
chr1	944202	959309	NOC2L
chr1	960583	965719	KLHL17
chr1	966481	975865	PLEKHN1
chr1	975197	982117	PERM1
chr1	998961	1000172	HES4
chr1	1001137	1014540	ISG15
chr1	1020119	1056119	AGRN
chr1	1070966	1074306	RNF223
chr1	1081817	1116361	C1orf159
chr1	1173879	1197936	TTLL10
chr1	1203507	1206592	TNFRSF18
chr1	1211325	1214153	TNFRSF4
chr1	1216930	1232031	SDF4
chr1	1232236	1235041	B3GALT6
chr1	1242445	1246722	C1QTNF12
chr1	1253908	1273864	UBE2J2
chr1	1280435	1292029	SCNN1D
chr1	1292389	1309609	ACAP3
chr1	1308596	1311677	PUSL1
chr1	1311584	1324687	INTS11
chr1	1324755	1328896	CPTP
chr1	1331279	1335314	TAS1R3
chr1	1335275	1349418	DVL1
chr1	1352688	1361777	MXRA8
chr1	1373729	1375207	AURKAIP1
chr1	1385710	1399335	CCNL2
chr1	1401908	1407293	MRPL20
chr1	1418419	1421769	ANKRD65
chr1	1425870	1430255	TMEM88B
chr1	1434860	1442882	VWA1
chr1	1449688	1470163	ATAD3C
chr1	1471764	1497848	ATAD3B
chr1	1512161	1534685	ATAD3A
chr1	1534777	1540624	TMEM240
chr1	1541672	1574863	SSU72
chr1	1598011	1600135	FNDC10
chr1	1615453	1630605	MIB2
chr1	1632162	1635263	MMP23B
chr1	1635224	1659012	CDK11B
chr1	1659528	1692795	SLC35E2B
chr1	1702378	1724357	CDK11A
chr1	1751231	1780457	NADK
chr1	1785284	1892292	GNB1
chr1	1915107	1917296	CALML6
chr1	1917589	1919279	TMEM52
chr1	1921950	2003837	CFAP74
chr1	2019328	2030758	GABRD
chr1	2050410	2185395	PRKCZ
chr1	2184460	2212720	FAAP20
chr1	2227387	2310213	SKI
chr1	2321252	2391707	MORN1
chr1	2391774	2405442	RER1
chr1	2403963	2413797	PEX10
chr1	2425979	2505532	PLCH2
chr1	2508536	2526597	PANK4
chr1	2528744	2530263	HES5
chr1	2555638	2565382	TNFRSF14
chr1	2586490	2591469	PRXL2B
chr1	2590638	2633016	MMEL1
chr1	2636985	2801693	TTC34
chr1	3021466	3022903	ACTRT2
chr1	3069167	3438621	PRDM16
chr1	3454664	3481113	ARHGEF16
chr1	3487950	3611508	MEGF6
chr1	3625014	3630127	TPRG1L
chr1	3630766	3652761	WRAP73
chr1	3652515	3736201	TP73
chr1	3746459	3771645	CCDC27
chr1	3772748	3775982	SMIM1
chr1	3778558	3796498	LRRC47
chr1	3812085	3857396	CEP104
chr1	3857266	3885429	DFFB
chr1	3889124	3900293	C1orf174
chr1	4654608	4792534	AJAP1
chr1	5862810	5992473	NPHP4
chr1	5990926	6101193	KCNAB2
chr1	6101786	6180321	CHD5
chr1	6159429	6197757	
chr1	6185019	6209389	RPL22
chr1	6205474	6221299	RNF207
chr1	6221192	6235972	ICMT
chr1	6244178	6245578	HES3
chr1	6247352	6261098	GPR153
chr1	6264268	6393767	ACOT7
chr1	6412417	6424670	HES2
chr1	6424775	6461367	ESPN
